Department;DepartmentCleaned;Department_corrected;Department_corrected different from DepartmentCleaned
GOVT;government;government;0
EDSP;education;education;0
HIST;history;history;0
GVPT;gvpt;government;1
ECON;economics;economics;0
GEOG;geography;geography;0
Biology;biology;biology;0
Journalism;journalism;journalism;0
BSCI;bsci;biological sciences;1
Psychology;psychology;psychology;0
Sociology;sociology;sociology;0
Communication;communications;communications;0
ENEE;enee;electrical and computer engineering;1
Women's Studies;women's studies;women's studies;0
History;history;history;0
ANSC;animal science;animal science;0
DANC;dance;dance;0
CHIN;chinese;chinese;0
ARCH;architecture;architecture;0
Business;business;business;0
Economics;economics;economics;0
CLAS;classics;classics;0
CHEM;chemistry;chemistry;0
ARTH;art history;art history;0
EDUC;education;education;0
ANTH;anthropology;anthropology;0
SOCY;sociology;sociology;0
GEOL;geology;geology;0
PHYS;physics;physics;0
MATH;mathematics;mathematics;0
BMGT;business;business;0
PSYC;psychology;psychology;0
COMM;communications;communications;0
Math;mathematics;mathematics;0
STAT;statistics;statistics;0
Chemistry;chemistry;chemistry;0
Physics;physics;physics;0
Kinesiology;kinesiology;kinesiology;0
ENGL;english;english;0
THET;thet;theatre;1
PHIL;philosophy;philosophy;0
WMST;wmst;women's studies;1
FREN;french;french;0
EDCI;education;education;0
LING;linguistics;linguistics;0
JOUR;journalism;journalism;0
Business Administration;business;business;0
Electrical Engineering;electrical engineering;electrical engineering;0
Mathematics;mathematics;mathematics;0
Engineering;engineering;engineering;0
EE;electrical engineering;electrical engineering;0
ASTR;astronomy;astronomy;0
Anthropology;anthropology;anthropology;0
ENCE;ence;ence;0
ITAL;italian;italian;0
GERM;german;german;0
RUSS;russian;russian;0
ENME;enme;enme;0
MUSC;music;music;0
Geography;geography;geography;0
Geology;geology;geology;0
Computer Science;computer science;computer science;0
SPAN;spanish;spanish;0
HLTH;hlth;health;1
Spanish;spanish;spanish;0
Biochemistry;biochemistry;biochemistry;0
Astronomy;astronomy;astronomy;0
MUS;music;music;0
DNCE;dnce;dance;1
ECONOMICS;economics;economics;0
Microbiology;biology;biology;0
ANTHROPOLOGY;anthropology;anthropology;0
